ID,Title_EN,Description_EN,Tech_Specs_EN,Main_Category_EN,Second_Category_EN,Third_Category_EN,Forth_Category_EN
1,Solar Garden Shower with Thermometer 18L,"Enjoy a refreshing or warm shower in your garden or backyard with Parkside's eco-friendly solar shower. The integrated 18-liter tank heats the water exclusively through solar radiation, reaching temperatures up to 60°C, which you can monitor at any time using the built-in thermometer.

It features a large Ø 15 cm shower head in an elegant chrome finish, a mixer tap for easy one-handed temperature adjustment, as well as a separate, low tap for rinsing feet. Its construction is weather and UV-resistant, and it splits into 2 sections with a screw mechanism (bayonet lock) for easy transport and storage. It connects directly to all standard garden hoses thanks to the Parkside quick-connect system.",Tank Capacity: 18 Liters (Maximum water temperature 60°C) | Maximum Operating Pressure: 4 bar | Shower Height: approx. 226 cm (Body diameter: 11 cm) | Smart Features: Non-return valve (to prevent water drainage if the hose is disconnected) and a drain valve for winter emptying. | Includes: Stable base (15.5 x 15.5 cm) and all necessary mounting hardware.,Garden,Garden Equipment,Yard Items,
2,Extension Cable 10m IP44 (Power Strip Cord),"Durable and practical 10-meter extension cable (power strip cord) by Parkside, ideal for easily reaching every corner of your workshop, garage, or home. It features a connection plug with a special rubber protective cover for enhanced safety during use. It is suitable for indoor use, as well as temporary/short-term outdoor use.",Length: 10 m | Maximum Power: 3680 W | Protection Rating: IP44 (splash-proof) | Plug Type: With protective rubber cover,Electrical,,,
3,Submersible Clean Water Drainage Pump PETPK 400 B2 400W,"Reliable 400W submersible drainage pump by Parkside, ideal for pumping, emptying, and transferring clean or slightly dirty water (with solid particles up to 5 mm). It features a powerful, long-lasting motor with built-in thermal overload protection and a ceramic mechanical seal. It is equipped with an adjustable float switch for automatic activation/deactivation and dry-running protection. Its durable housing includes an ergonomic handle for easy transport, while the Quick Connect system allows for rapid connection of various hose sizes.","Power: 400 W | Delivery Capacity: max. 10000 l/h | Delivery Head: max. 7 m | Immersion Depth: max. 7 m | Maximum Particle Size: 5 mm | Water Temperature: max. 35 °C | Cable Length: 10 m | Connectors: G1½"" Quick Connect angled adapter - G1"" adapter for hoses 13mm (1/2""), 19mm (3/4""), 25mm (1""), 38mm (1½"") | Includes: 8m nylon rope, angled connector, adapter with non-return valve | Note: Unsuitable for saltwater or continuous operation (e.g., fountains)",Garden,Garden Tools,Pumps,
4,Pressure Shoulder Sprayer 5L,"Practical 5-liter pressure shoulder sprayer by Parkside, ideal for multiple uses in the garden, plot, or household. It is excellent for spraying plants, fertilizing, or protecting them. It offers comfortable and flexible operation thanks to the kink-resistant hose connection, the ergonomic handle with an integrated switch, and the included shoulder strap for easy transport. It features a spray lance made of durable fiberglass, a safety valve for pressure relief, and a transparent container with a filling scale to easily monitor the liquid level. The water flow is fully adjustable, allowing you to choose from a fine mist (spray) to a full jet stream.","Usable Capacity: 5 L | Operating Pressure: max. 2.5 bar | Burst Pressure: 5 bar | Lance Material: Fiberglass | Protection: Safety pressure valve & UV radiation resistance | Includes: Shoulder strap, Filling filter, Hose storage slots",Garden,Garden Tools,Watering,Sprayer
5,Electric Lawn Trimmer PERT 550 C6 550W,"Powerful 550W electric lawn trimmer by Parkside, ideal for lawn maintenance and precise grass cutting in hard-to-reach areas, corners, and edges. It features a 6-position tilting cutting head and a rotating trimmer head for excellent results along the edges of sidewalks or flowerbeds. Operation is comfortable and tailored to your height thanks to the adjustable telescopic shaft (up to 29 cm) and the adjustable secondary handle. It is equipped with a dual-line system with automatic tap & go adjustment, a safety guard with an integrated line cutter, and a fold-out flower guard bar to protect your plants.",Power: 550 W | Cutting Diameter: 30 cm | Line Thickness: 1.4 mm | Line Length: 2 x 5 m (per spool) | Cutting Head: 6-position tilting & rotating | Telescopic Shaft: Adjustable by 29 cm | Trimmer Line System: Dual line with automatic adjustment and tool-free spool replacement | Safety: Guard with flower protection bar & Cable strain relief mechanism,Garden,Garden Tools,Power Tools,
6,Automatic Solar Drip Irrigation Kit,"Smart and fully autonomous solar drip irrigation system by Parkside, ideal for caring for up to 20 plants in planters, flowerbeds, and pots while you are away from home. It operates without electricity or a tap connection, as it utilizes a solar panel and an integrated water container with a lid to prevent evaporation. The control unit features 14 preset watering programs with convenient LED indicators, while the spacing of the drip nozzles is easily adjustable by cutting the flexible hose to your preferred length. The solar panel can be mounted either on top of the unit or directly into the ground using the special ground spike.","Watering Capacity: Up to 20 plants | Programs: 14 selectable time intervals | Power Supply: Solar panel & 3x rechargeable NiMH AA 1200 mAh batteries (included for operation during cloudy weather) | Waterproof Rating: IPX4 (splash-proof) | Suitable for: Flower pots, planters, balconies, greenhouses | Additional Features: Sliding micro-component compartment, Water container with lid, LED operation indicator",Garden,Watering,Pumps,Automations
7,Replacement Trimmer Spools (Set of 3),"Set of 3 replacement trimmer spools (line spools) by Parkside, suitable for easily replacing and renewing the cutting line on your lawn trimmer. They are available in two different versions depending on your device model: one version is compatible with the PERT 550 trimmers and the cordless PRTA 20-Li, while the second one (PRTS 4 C1) is compatible with the PERT 300 electric trimmer. An ideal accessory to always keep a backup supply during your gardening work.",Quantity: 3 pieces per package | Version 1 (For PERT 550 / PRTA 20-Li): Line thickness 1.4 mm - Length 2 x 5 m per spool | Version 2 (Model PRTS 4 C1 for PERT 300): Line thickness 1.6 mm - Length 1 x 4 m per spool | Use: Replacement cutting consumables,Consumables,Garden Accessories,,
8,Electric Shredder / Wood Chipper PEMH 2400 B2 2400W,"Powerful 2400W electric shredder by Parkside, equipped with a high-performance Turbo-Power motor, ideal for easily shredding branches and bushes with a thickness up to 40 mm. It features two quality blades made of specially hardened steel and an electronically controlled smooth start (soft start). For your maximum safety, it integrates overload protection and a restart safeguard in case of power interruption. It is extremely easy to transport thanks to its lightweight design and durable wheeled chassis, while it includes a practical removable 40-liter collection bag and a special plunger for pushing residues.","Power: 2400 W | Motor: Turbo-Power with electronic Soft Start | Maximum Branch Thickness: 40 mm | Bag Capacity: 40 L | No-load Speed: 4500 min⁻¹ | Cutting System: 2 blades made of special hardened steel | Safety: Overload protection & Restart protection | Includes: 1 collection bag, 1 pusher with its mount, 1 Torx wrench, 1 hex key, Cable strain relief mechanism",Garden,Garden Tools,Power Tools,
9,Cordless Metal Detector 4V PAMD 4 A1,"Portable and cordless 4V metal detector (pinpointer) by Parkside, ideal for precisely locating small metallic objects such as jewelry, coins, and keys. It offers 360° all-around detection and can be successfully used in sand, grass, soil, and rocks, both indoors and outdoors. It features an IP68-certified waterproof and dustproof housing, a built-in LED light for dark spots, and a smart alarm system with sound, light, and vibration that intensifies as you get closer to the object. It charges easily via a USB port.","Voltage: 4 V | Detection: 360° All-around | Measuring Range: Adjustable in 3 levels (20 / 40 / 60 mm) | Maximum Detection Depth: 60 mm (for a minimum object size of 25 x 2 mm) | Protection Rating: IP68 (Fully waterproof & dustproof) | Notification: Sound, visual alarm, and vibration | Operating Temperature: -10 to +50 °C | Includes: 1 spiral retaining lanyard with 2 safety snap hooks, 1 belt holster, 1 USB charging cable",Special Tools,Battery Tools,4v,
10,Men's Cotton T-Shirt with Logo,"Classic and comfortable short-sleeved T-shirt featuring the authentic Parkside logo. It is made from 100% pure, high-quality cotton, offering exceptional comfort and a soft feel against the skin. Thanks to its highly elastic material, it ensures absolute freedom of movement, making it ideal both for work in the workshop and for your daily routines. It features a crew neck and comes in a straight, comfortable fit that suits every body type.","Material: 100% Pure cotton | Available Colors: Grey, Black, Green | Available Sizes: S (44/46) to XXL (60/62) | Fit: Straight / Comfortable (Regular fit) | Features: Crew neck, Large PARKSIDE logo",Clothing,Workwear,,
